команда,перевод
--crash-server-url,URL -адрес сервера для загрузки данных о сбое. По умолчанию «https://clients2.google.com/cr/report» для устройств Prod. По умолчанию «https://clients2.google.com/cr/staging_report» для не Prod.
--crash-test,Приводит к сбою процесса браузера при запуске.
--crashpad-handler,"Тип процесса (переключатели :: kprocesstype), который указывает Chrome.exe или setup.exe, запускается как CrashPad_Handler. Это используется только в Windows. Мы объединяем обработчик в Chrome.exe в Windows, потому что существует высокая вероятность того, что «новый» .exe блокируется или вмешается в брандмауэры приложений, программное обеспечение AV и т. Д. На других платформах CrashPad_handler является автономным исполняемым файлом."
--crashpad-handler-pid[16],Идентификатор процесса обработчика CrashPad.
--create-browser-on-startup-for-tests,"Некоторые платформы, такие как Chromeos Default, чтобы опустошить рабочий стол. Тесты браузера могут потребоваться добавить этот переключатель, чтобы по крайней мере один экземпляр браузера был создан при запуске. TODO (NKOSTYLEV): Исследуйте, можно ли удалить этот переключатель. (http://crbug.com/148675)"
--credits,"Отпечатает информацию о лицензировании (тот же контент, который можно найти в «Кредитах») и увольняется."
--cros-disks-fake,"Позволяет Cros Disks поддельное поведение. Если переключатель установлен, клиент D-BUS Fake Cros Disk инициализируется, а события USB не достигают Chrome."
--cros-postlogin-data-fd,"FD указывает на анонимную трубу, содержащую данные пост логина."
--cros-postlogin-log-file,"Путь файла журнала, который лакрос должен использовать пост-логин."
--cros-region,Силы региона Крос.
--cros-startup-data-fd,"FD указывает на (резервную от памяти) файл, содержащий данные запуска."
--crosh-command[6],Пользовательская команда Crosh.
--cryptauth-http-host,"Переопределяет URL -адрес по умолчанию для Google API (https://www.googleapis.com), используемый Cryptauth."
--cryptauth-v2-devicesync-http-host,Переопределяет URL -адрес по умолчанию для Defices V2 CryptAuth: https://cryptauthdevicesync.googleapis.com.
--cryptauth-v2-enrollment-http-host,Переопределяет URL -адрес по умолчанию для Cryptauth v2 rellment: https://cryptauthenrollment.googleapis.com.
--cryptohome-recovery-service-base-url,Переопределяет базовый URL для службы восстановления Cryptohome.
--cryptohome-recovery-use-test-env,Силы процесса восстановления криптохома для использования тестовой среды (тестовые ключи / URL -адреса).
--cryptohome-use-authsession,"Управление, если API Authsession следует использовать при взаимодействии с Cryptogomed."
--cryptohome-use-old-encryption-for-testing,"Заставляет Cryptohome создавать новых пользователей, используя старое шифрование (ECRYPTFS). Этот переключатель можно использовать для настройки конфигураций, которые можно использовать для тестирования сценариев миграции шифрования."
--custom-android-messages-domain,без описания
--custom-devtools-frontend,"Определяет конечную точку http: //, которая будет использоваться для обслуживания devtools: // devtools/custom/<path> или файл: // url для указания пользовательского пути файла для загрузки для devtools: // devtools/bundled/< Путь>"
--custom_summary[10],"Заставляет пользовательскую резюме, которая будет отображаться ниже элемента меню «Обновление»."
--d3d-support[1],без описания
--d3d11,без описания
--d3d11-null,Специальные переключатели для реализации драйверов «NULL»/STUB.
--d3d11on12,без описания
--d3d9,без описания
--daemon,без описания
--dark-mode-settings,"Устанавливает настройки темного режима. Формат равен [<param> = <value>], [<param> = <value>], ... Парамы принимают либо int, либо значения float. Если параметры не указаны, используются настройки темного режима по умолчанию. Допустимые параметры приведены ниже. «Inversionalgorithm» принимает int value of Darkmodeinversionalgorithm enum. «ImagePolicy» принимает int value of DarkModeimagePolicy Enum. «ForegroundbrightnessThreshold» занимает от 0 до 255 int value. «FounalBrightnessThroshold» занимает от 0 до 255 int value. «Contrastpercent» занимает от -1,0 до 1.0. Выше значение, больше контраста."
--data-path,"Заставляет контент Shell использовать заданный путь для своего каталога данных. ПРИМЕЧАНИЕ. При изменении этого значения измените соответствующее значение Java-Side в ContentShellBrowsErtestActivity.javageTuserDataDirectoryCommandlineswitch (), чтобы соответствовать."
--data-quota-bytes,без описания
--data-url-in-svg-use-enabled,Переопределяет данные: URL -адреса в снижении SVGuseElement с помощью корпоративной политики.
--dawn,без описания
--dawn-d3d11,без описания
--dawn-d3d12,без описания
--dawn-metal,без описания
--dawn-swiftshader,без описания
--dawn-vulkan,без описания
--dbus-stub,"Заставляет внедрение клиентов D-BUS. Использование клиентов Stub D-BUS-это по умолчанию среды, не являющуюся хромами ОС, для использования реальных клиентов D-BUS в среде не хрома ОС, установите этот флаг «никогда»."
--deadline-to-synchronize-surfaces,"Номер по умолчанию BeginFrames, чтобы подождать, чтобы активировать поверхность с зависимостями."
--debug-devtools,Запустите тесты DevTools в режиме отладки (не связанный и минимум)
--debug-packed-apps,"Добавляет записи отладки, такие как осмотреть элемент в контекстные меню упакованных приложений."
--debug-print[17],Обеспечивает поддержку подсистемы отладки печати.
--default,без описания
--default-background-color,"Цвет фона, который будет использоваться, если на странице не указывается один. Предоставлено в качестве целочисленного значения RGB или RGBA в HEX, например, 'ff0000ff' для красного или '00000000' для прозрачного."
--default-country-code[10],Код страны по умолчанию будет использоваться для локализации поисковой системы.
--default-tile-height,без описания
--default-tile-width,"Устанавливает размер плитки, используемый композиционными слоями."
--default-trace-buffer-size-limit-in-kb,"Это используется только тогда, когда мы не устанавливали размер буфера в конфигурации трассировки и будем использоваться для всех сеансов трассировки. Если не предоставлено, мы будем использовать значение по умолчанию, указанное в perfetto_config.cc"
--default-wallpaper-is-oem,"Указывает, что изображения обоев, указанные Kashdefaultwallpaper {large, Small}, специфичны для OEM (то есть они не могут загружаться с Google)."
--default-wallpaper-large,"По умолчанию большие обои для использования (как путь к доверенному, не используемому файлу JPEG)."
--default-wallpaper-small,"По умолчанию небольшие обои для использования (как путь к доверенному, не пользуемому файлу JPEG)."
--defer-external-display-timeout,"Интервал за несколько секунд, чтобы подождать, пока дисплей подключится при разблокировке или входе в систему с закрытой крышкой."
--defer-feature-list,"Откройте инициализацию базы :: featurestist во внешнем процессе обслуживания, что позволяет процессу включать свои собственные функции, не связанные с деко."
--demo-mode-enrolling-username,"Пользователь тестовой организации (OU) для использования для демонстрационного режима. Пропустите только часть до ""@cros-demo-mode.com""."
--demo-mode-force-arc-offline-provision,"Force Arc Предоставление, чтобы пройти путь кода для автономного демонстрационного режима."
--demo-mode-highlights-extension,Идентификатор приложения для использования для приложения выделения в демонстрационном режиме.
--demo-mode-screensaver-extension,Идентификатор приложения для использования для приложения Screensaver в демонстрационном режиме.
--demo-mode-swa-content-directory,"Каталог, из которого можно получить контент SWA Demo Mode (вместо загрузки из Омахи)."
--deny-permission-prompts,"Предотвращает появление разрешений, отрицая, вместо того, чтобы показывать подсказки."
--derelict-detection-timeout,"Время за несколько секунд до того, как машина в OOBE считается заброшенным."
--derelict-idle-timeout,"Время за несколько секунд, прежде чем заброшенные машины запускают демонстрационный режим."
--desktop,без описания
--desktop-window-1080p,"При наличии, настольный Cast_Shell создаст окно 1080p (при условии, что разрешение дисплея достаточно высока). В противном случае, Cast_Shell по умолчанию до 720p."
--deterministic-mode,"Мета -флаг. Это устанавливает ряд флагов, которые помещают браузер в детерминированный режим, где начинаются кадры, которые должны быть выпущены над DevtoolsProtocol (экспериментально)."
--dev,без описания
--device-management-url,"Определяет URL, при котором можно общаться с бэкэнд управления устройствами, чтобы получить политики конфигурации и выполнять другие задачи устройства."
--device-scale-factor[1],"Коэффициент шкалы устройства передается в определенные процессы, такие как рендеринг и т. Д."
--devtools-code-coverage,"Каталог для вывода покрытия кода JavaScript. Когда поставляется, обеспечивает покрытие в выбранных тестах браузера."
--devtools-flags,Передает параметры командной строки на фронт Devtools.
--diagnostics,Запускает множество диагностических режимов.
--diagnostics-format,"Устанавливает выходной формат для диагностических режимов, включенных Flag."
--diagnostics-recovery,Сообщает режиму диагностики выполнить запрошенные шаги восстановления.
--direct-composition-video-swap-chain-format,Используется для переоценки формата цепи подкат для прямого композиционного видео SDR.
--direction,без описания
--disable,без описания
--disable-2d-canvas-clip-aa,Отключить антиалиазии на 2D Canvas Clips
--disable-2d-canvas-image-chromium,Отключает рендеринг Canvas2D в буфер Scanout для поддержки наложения.
--disable-3d-apis,"Отключает 3D 3D API, в частности WebGL и Pepper 3D. Это контролируется политикой и хранится отдельно от других включенных/отключенных коммутаторов, чтобы избежать случайного регрессии поддержки политики для контроля доступа к этим API."
--disable-accelerated-2d-canvas,Отключить 2D-холст с ускоренным графическим процессором.
--disable-accelerated-mjpeg-decode,"Отключите аппаратное ускорение декода MJPEG для захваченного кадра, где это доступно."
--disable-accelerated-video-decode,"Отключает аппаратное ускорение видео декодирования, где доступно."
--disable-accelerated-video-encode,"Отключает аппаратное ускорение видеокода, где это доступно."
--disable-adpf,"Отключает отчеты о времени кадра через ADPF, даже если он поддерживается на устройстве."
--disable-angle-features,"Отключает определенные функции угловых угла, если найдено."
--disable-app-content-verification,Отключить проверку контента приложения при тестировании локально изменяется на Chromebox для оборудования для встреч.
--disable-arc-cpu-restriction,"Предотвращает любые ограничения процессора, установленные на ARC [VM]. Только предназначен для использования тестами, так как некоторые тесты могут пройти время, если дугочный контейнер задушен."
--disable-arc-data-wipe,"Отключает пользовательские данные Android, протирание отказаться."
--disable-arc-opt-in-verification,"Отключает процесс проверки дуги, а ARC включен по умолчанию."
--disable-audio-input,Силы ввода и вывода создания потока для использования поддельных аудиотоков.
--disable-audio-output,без описания
--disable-auto-maximize-for-tests[3],"Отключает функцию Auto Majectize на Chromeos, так что окно браузера всегда начинается в нормальном состоянии. Это используется тестами, которые не хотят этого поведения максимизации автоматического."
--disable-auto-reload,Отключить автоматическую загрузку страниц ошибок.
--disable-auto-wpt-origin-isolation,"Отключает автоматическое изоляцию доменов тестирования веб -платформы. Обычно мы осуществляем их изоляция для лучшего испытательного охвата, но тесты изоляции Origin Origin необходимо отключить это."
--disable-ax-menu-list,"При желании отключить Axmenulist, который делает интерфейс внутреннего всплывающего меню для элемента выбора, непосредственно доступным."
--disable-back-forward-cache,Отключает функцию BackForwardCache.
--disable-background-media-suspend,Не сразу приостановите носитель на фонах.
--disable-background-networking,"Отключите несколько подсистем, которые запускают сетевые запросы в фоновом режиме. Это для использования при тестировании производительности сети, чтобы избежать шума в измерениях."
--disable-background-timer-throttling,Отключить задачу дросселирования задач таймера с фоновых страниц.
--disable-backgrounding-occluded-windows,"Отключить фоновые рендеры для окклюзированных окон. Сделано для тестов, чтобы избежать нетерминированного поведения."
--disable-backing-store-limit,Отключить ограничения по количеству бэк -магазинов. Можно предотвратить мигание для пользователей со многими Windows/Tabs и большим количеством памяти.
--disable-best-effort-tasks,Задержка выполнения задач TaskPriority :: Best_effort.
--disable-blink-features,"Отключите одну или несколько функций с поддержкой времени выполнения. Используйте имена от Runtime_enabled_features.json5, отделенные запятыми. Применяется после KenableBlinkFeatures и после других флагов, которые изменяют эти функции."
--disable-breakpad,Отключает отчет о аварии.
--disable-buffer-bw-compression,Отключить сжатие полосы пропускания буфера
--disable-cancel-all-touches[18],Отключить функцию CancelAllTouches () для реализации при отмене отдельных штрихов.
--disable-canvas-aa,Отключить антиалиазии на 2D -холсте.
--disable-checker-imaging,"Отключил откладывание всех изображений декодирует в службу декодирования изображения, игнорируя предпочтения декодинг -моды, указанные на Paintimate."
--disable-checking-optimization-guide-user-permissions,без описания
--disable-chrome-tracing-computation,Отключите сравнение графа сервиса трассировки во время написания трассировки.
--disable-component-extensions-with-background-pages,"Отключить расширения компонентов по умолчанию с помощью фоновых страниц - полезно для тестирования производительности, где эти страницы могут мешать результатам PRF."
--disable-component-update[19],без описания
--disable-composited-antialiasing,Отключает анти-алиации в композиторе.
--disable-cookie-encryption,"Зашифрованы ли файлы cookie, хранящиеся как часть профиля пользователя."
--disable-crash-reporter,Отключить репортер Crash для безголов. Он включен по умолчанию в официальных сборках.
--disable-databases,Отключает поддержку HTML5 DB.
--disable-dawn-features,Установите функции Dawn (переключатели) отключенные на создание устройств Dawn.
--disable-default-apps,Отключает установку приложений по умолчанию при первом запуске. Это используется во время автоматического тестирования.
--disable-demo-mode,Отключает демонстрацию Chrome OS.
--disable-dev-shm-usage[20],"Разделение/dev/shm слишком мал в определенных средах виртуальной машины, что приводит к выходу из строя или сбоя хрома (см. Http://crbug.com/715363). Используйте этот флаг, чтобы использовать эту проблему (временный каталог всегда будет использоваться для создания анонимных файлов общей памяти)."
--disable-device-disabling,"Если этот переключатель установлен, устройство не может быть отключено удаленно отключено своим владельцем."
--disable-dinosaur-easter-egg,Отключает пасхальное яйцо динозавра на офлайн -интерстициальном.
--disable-disallow-lacros,"Этот флаг отключает «запрет-лакросы» выше, если оба установлены вместе. То есть, если пользовательский флаг функции Flips или установлен политика, можно использовать лакросы, событие, если установлено-дизало-лакрос."
--disable-domain-blocking-for-3d-apis,Отключите блокировку для каждого домена для 3D API после сброса графического процессора. Этот переключатель предназначен только для тестов.
--disable-domain-reliability,Отключает мониторинг надежности домена.
--disable-explicit-dma-fences,Отключить явные DMA-FENS
--disable-extensions,Отключить расширения.
--disable-extensions-except,"Отключить расширения, кроме тех, которые указаны в списке, разделенном запятыми."
--disable-extensions-file-access-check,"Отключите проверку для пользователя, чтобы получить расширения, которые хотят вводить скрипт в URL-адреса файла (т. Е. Всегда разрешайте это). Это используется во время автоматического тестирования."
--disable-extensions-http-throttling,"Отключить функциональность net :: urlrequestthrottlermanager для запросов, происходящих из расширений."
--disable-features,Запятый список имен функций для отключения. Смотрите также KenableFeatures.
--disable-fetching-hints-at-navigation-start,без описания
--disable-field-trial-config,"Отключить пробные испытания на полевых условиях, настроенные в Fieldtrial_testing_config.json."
--disable-file-system,Отключить API файловой системы.
--disable-fine-grained-time-zone-detection,Отключает тонкозернистое обнаружение часового пояса.
--disable-font-subpixel-positioning,"Сила отключает позиционирование субпикселя шрифта. Это влияет на резкость глифа персонажа, кернинг, намек и макет."
--disable-frame-rate-limit,"Отключает ограничение рамки Begin как в планировщике CC, так и в планировщике отображения. Также подразумевает-disable-gpu-vsync (см. //Ui/gl/gl_switches.h)."
--disable-gaia-services,"Отключает услуги GAIA, такие как зачисление и восстановление сеансов OAuth. Используется в логике телеметрии."
--disable-gesture-requirement-for-presentation,Отключить требование к жесту пользователей для презентации.
--disable-gl-drawing-for-tests,"Отключает операции рисования GL, которые производят выход пикселей. При этом выход GL не будет правильным, но тесты будут работать быстрее."
--disable-gl-error-limit,Отключите предел журнала ошибок GL.
--disable-gl-extensions,"Отключает указанные запятые, разделенные расширения GL, если найдено."
--disable-glsl-translator,Отключить переводчика GLSL.
--disable-gpu,"Отключает аппаратное ускорение GPU. Если программного рендеринга не на месте, то процесс графического процессора не будет запущен."
--disable-gpu-compositing,Предотвратить композитор использовать реализацию GPU.
--disable-gpu-driver-bug-workarounds,Отключите обходные пути для различных ошибок драйвера GPU.
--disable-gpu-early-init,Отключить упреждающий ранний инициатор процесса графического процессора.
--disable-gpu-memory-buffer-compositor-resources,"Не заставляйте, чтобы все ресурсы композитора были подкреплены буферами памяти GPU."
--disable-gpu-memory-buffer-video-frames,"Отключить GpumemoryBuffer, поддерживаемые VideoFrames."
--disable-gpu-process-crash-limit,"Для испытаний, чтобы отключить предел количества раз, когда процесс графического процессора может быть перезапущен."
--disable-gpu-process-for-dx12-info-collection,Отключает процесс GPU без сандбоков для коллекции информации DX12
--disable-gpu-program-cache,Выключить кэширование программы GPU
--disable-gpu-rasterization,"Отключите графическое расписание, то есть растилизируйте только на процессоре. Переопределяет флаг Kenablegpurasterization."
--disable-gpu-sandbox,Отключает песочницу процесса GPU.
--disable-gpu-shader-disk-cache,Отключает шейдер GPU на дисковом кеше.
--disable-gpu-vsync,Остановите GPU синхронизировать презентацию с VBLANK.
--disable-gpu-watchdog,"Отключите поток, который сбоя, процесс GPU, если он перестает реагировать на сообщения."
--disable-hang-monitor,"Подавить диалоговые окна в процессах рендеринга. Это может позволить медленной обработчики разгрузки на странице, чтобы предотвратить закрытие вкладки, но диспетчер задач можно использовать для прекращения процесса оскорбления в этом случае."
--disable-headless-mode,"Отключает оболочку с начала в режиме без головы. Затем тесты попытаются использовать аппаратный графический процессор для рендеринга. Это следует только тогда, когда установлен Krunwebtests."
--disable-hid-blocklist,Отключите HID BlockList.
--disable-hid-detection-on-oobe,Отключает экран HID-обнаружения OOBE.
--disable-highres-timer[1],Отключить таймер с высоким разрешением в Windows.
--disable-histogram-customizer,Отключите гистограммкустамийзер renderThread.
--disable-image-animation-resync,"Откройте анимации изображений, чтобы быть сброшенным до начала, чтобы избежать пропуска многих кадров. Эффективно, если включены только анимации изображения композитора."
--disable-in-process-stack-traces,Отключает трассировки стека в процессе.
--disable-input-event-activation-protection,"Отключает игнорирование потенциально непреднамеренных событий ввода, таких как кнопки, которые случаются мгновенно после показа кнопки. Используйте это для интеграционных тестов, которые делают автоматические клики и т. Д."
--disable-ios-password-suggestions,"Отключить показ доступных учетных данных пароля в просмотре аксессуаров клавиатуры, когда сосредоточено на полевых полях."
--disable-ip-privacy-proxy,без описания
--disable-ipc-flooding-protection,"Отключает защиту от наводнения МПК. Он активируется по умолчанию. Некоторые функции JavaScript могут использоваться для затопления процесса браузера IPC. Эта защита ограничивает скорость, с которой они могут быть использованы."
--disable-javascript-harmony-shipping,Отключите последнюю доставку Ecmascript 6 функций.
--disable-kill-after-bad-ipc,"Не убивайте детский процесс, когда он отправляет плохое сообщение IPC. Помимо тестирования, это плохая идея с точки зрения безопасности, чтобы включить этот переключатель."
--disable-lacros-keep-alive,"Отключает лакроты, поддерживая для тестирования."
--disable-layer-tree-host-memory-pressure,Отключает LayerTreehost :: OnmemoryPressure
--disable-lazy-loading,Отключает ленивую загрузку изображений и рам.
--disable-lcd-text,Отключает текст ЖК -дисплея.
--disable-legacy-window[1],"Отключите унаследованное окно, которое соответствует размеру веб -содержимого."
--disable-libassistant-logfile,без описания
--disable-local-storage,Отключить LocalStorage.
--disable-logging,Силовая регистрация должна быть отключена. Регистрация включена по умолчанию в сборках отладки.
--disable-logging-redirect[6],Отключает переживание для тестирования.
--disable-login-animations,Избегайте дорогих анимаций при входе в систему.
--disable-login-lacros-opening,"Если лакрос установлен в первичный веб -браузер, в логине сеанса, он автоматически запущен. Это отключает эту функцию, то есть, если этот флаг установлен, даже если лакрос является основным веб -браузером, он не будет автоматически запустить при входе в систему сеанса. Это для тестирования, особенно для вкуса."
--disable-login-screen-apps[6],Отключает приложения на экране входа в систему. По умолчанию они разрешены и могут быть установлены с помощью политики.
--disable-low-end-device-mode,Принудительно отключение режима устройства низкого уровня при установке.
--disable-low-latency-dxva,Отключает с помощью CODECAPI_AVLOWLATENCYMODE при создании декодеров DXVA.
--disable-low-res-tiling,"При использовании Rasterization CPU отключить плитку с низким разрешением. Это использует меньше мощности, особенно во время анимации, но во время быстрой прокрутки можно увидеть больше белых, особенно на более медленных устройствах."
--disable-machine-cert-request,Отключает запросы на сертификат корпоративной машины во время аттестации.
--disable-main-frame-before-activation,Отключает отправку следующего BeginMainFrame до активации предыдущего коммита. Переопределяет флаг kenablemainframebeforeactivation.
--disable-media-session-api[10],Отключить API сессии СМИ
--disable-metal-shader-cache[7],"Отключает кеш шейдера Metal, используя песочницу GPU, чтобы предотвратить доступ к нему."
--disable-mipmap-generation,"Отключает поколение MIPMAP в SKIA. Используется обходной путь для избранных устройств с низкой памятью, для получения подробной информации см. Https://crbug.com/1138979."
--disable-modal-animations[7],Отключить анимацию для показы и скрытия модальных диалогов.
--disable-model-download-verification,без описания
--disable-mojo-broker,Отключает возможности брокера Mojo в браузере во время инициализации Mojo.
--disable-mojo-renderer,"Вместо того, чтобы использовать рендерин, размещенный в медиа -сервисе, возвращайтесь к рендеринере по умолчанию в Content_Renderer. Не меняет поведение медиа -сервиса."
--disable-nacl,"Отключает NaCl. Если Kenablenacl также установлен, этот переключатель имеет приоритет."
--disable-namespace-sandbox,Отключает использование песочницы пространства имен.
--disable-new-base-url-inheritance-behavior,Ориентируйте использование функции NewbaseUrlinheritancebehavior.
--disable-new-content-rendering-timeout,"Отключает очистку вывода рендеринга рендеринга, когда он не совершал нового вывода на некоторое время после навигации из верхней части."
--disable-notifications,Отключает веб -уведомление и Push API.
--disable-nv12-dxgi-video,Отключает видео -декодер от рисования до текстур NV12 вместо ARGB.
--disable-oobe-chromevox-hint-timer-for-testing,"Отключает обнаружение холостого хода Chromevox в OOBE, что может привести к неожиданному поведению во время тестов."
--disable-oobe-network-screen-skipping-for-testing,"Отключает проверку экрана сети, которая основана на подключении Ethernet."
--disable-oopr-debug-crash-dump[10],Отключает дампы отладки для OOPR.
--disable-origin-trial-controlled-blink-features,"Отключает все runtimeenabledfeatures, которые могут быть включены через Origintrials."
--disable-overscroll-edge-effect[10],"Отключите эффекты перегодного покрытия, подобные тем, которые можно найти в видах Android."
--disable-partial-raster,Отключить частичный растровый в рендерере. Отключение этого переключателя также отключает использование постоянных буферов памяти графических процессоров.
--disable-pdf-tagging,Не излучайте теги при печати PDF.
--disable-pepper-3d,Отключить Pepper3d.
--disable-per-user-timezone,Отключает часовой пояс на пользователя.
--disable-permissions-api,Отключает разрешения API.
--disable-pinch,Отключает жесты с прикреплением сенсорного экрана с помощью композитора.
--disable-pnacl-crash-throttling,Отключает сбоевой дросселирование для портативного нативного клиента.
--disable-policy-key-verification[6],"Отключает проверку ключей подписания политики. Он просто работает на тестовых изображениях Chrome OS и в противном случае вылетает. Todo (crbug.com/1225054): этот флаг может представить риски безопасности. Найдите лучшее решение, чтобы обеспечить тест вкуса политики для учетной записи семейной ссылки."
--disable-popup-blocking,Отключает блокировку всплывающего окна.
--disable-prefer-compositing-to-lcd-text,"Отключите создание слоев композиции, когда он предотвратит ЖК -текст."
--disable-presentation-api,Отключает API презентации.
--disable-print-preview,"Отключает предварительный просмотр печати (для тестирования и для пользователей, которые не нравятся нас .: [)"
--disable-prompt-on-repost,"Обычно, когда пользователь пытается перейти на страницу, которая была результатом поста, мы запрашиваем, чтобы убедиться, что он хочет. Этот переключатель может быть использован для отключения этой проверки. Этот переключатель используется во время автоматического тестирования."
--disable-pull-to-refresh-effect[10],"Отключите эффект тяги, когда вертикально перепроверкает контент."
--disable-pushstate-throttle,Отключает дросселирование истории. ПУШКАТАТА/ЗАПИСКИ ЗАПИСКИ.
--disable-reading-from-canvas,"Повреждает все элементы <canvas>, независимо от происхождения."
--disable-remote-fonts,"Отключает поддержку удаленного веб -шрифта. SVG -шрифт всегда должен работать, указан ли этот вариант или нет."
--disable-remote-playback-api,Отключает API RemotePlayback.
--disable-renderer-accessibility,Выключает доступность в рендерере.
--disable-renderer-backgrounding,Предотвратить обработку обработки рендеринга при установке.
--disable-resource-scheduler,"Отключен ли ресурсы. Обратите внимание, что это полезно только для безголовых эвердеров, которым необходимо реализовать свое собственное планирование ресурсов."
--disable-rgba-4444-textures,Отключает текстуры RGBA_4444.
--disable-rollback-option,Отключает опцию отката на экране сброса.
--disable-rtc-smoothness-algorithm,"Отключает новый алгоритм рендеринга для WEBRTC, который предназначен для улучшения плавности рендеринга."
--disable-screen-orientation-lock[10],Отключите функцию блокировки API ориентации экрана.
--disable-scroll-to-text-fragment,Этот переключатель отключает функцию scrolltotextfragment.
--disable-search-engine-choice-screen,Отключите экран выбора поисковой системы для тестирования / автоматации.
--disable-seccomp-filter-sandbox,Отключите песочницу фильтра SECCOMP (SECCOMP-BPF) (только Linux).
--disable-setuid-sandbox,Отключите песочницу Setuid (только Linux).
--disable-shader-name-hashing,Отключите пользовательское хеширование в шейдерах.
--disable-shared-workers,Отключить общих работников.
--disable-signin-frame-client-certs,"Отключает аутентификацию сертификата клиента в рамке входа в профиль регистрации ОС Chrome. Todo (https://crbug.com/844022): Удалите этот флаг при достижении конечных точек, которые запрашивают клиентские сертификаты больше не висят, когда нет системного токена."
--disable-site-isolation-for-policy[10],"Точно так же, как kdisablesiteIsolation, но не показывает, что «стабильность и безопасность будут страдать»."
